year	month	day	Time	Pcpn	Sol	TAir	RHum	Wind
2009	1	1	100	0	0	-6.955	81.51	4.1017
2009	1	1	200	0	0	-7.1083	85.822	4.75
2009	1	1	300	0	0	-7.2283	85.592	5.365
2009	1	1	400	0	0	-7.2917	85.495	5.9
2009	1	1	500	0	0	-7.3417	85.662	6.1417
2009	1	1	600	0	0	-7.1717	83.28	6.9867
2009	1	1	700	0	0	-6.8317	81.688	7.6667
2009	1	1	800	0	15.61	-6.4533	80.925	8.5283
2009	1	1	900	0	130.63	-5.6367	78.633	8.5117
2009	1	1	1000	0	277.26	-4.2733	75.265	9.3233
2009	1	1	1100	0	384.37	-3.1667	72.3	9.6383
2009	1	1	1200	0	467.39	-2.03	70.327	9.9517
2009	1	1	1300	0	392.37	-0.9033	70.005	9.33
2009	1	1	1400	0	180.08	-0.455	69.727	8.7117
2009	1	1	1500	0	114.83	0.1	69.892	7.855
2009	1	1	1600	0	64.19	0.44	71.548	7.63
2009	1	1	1700	0	4.34	0.2967	75.5	6.3483
2009	1	1	1800	0	0	0.0217	79.953	4.9067
2009	1	1	1900	0	0	-0.29	85.74	3.6467
2009	1	1	2000	0	0	-0.3767	88.222	3.585
2009	1	1	2100	0	0	0.1833	82.855	4.1983
2009	1	1	2200	0	0	0.2883	83.672	4.775
2009	1	1	2300	0	0	-0.2567	86.868	4.6067
2009	1	1	2400	0	0	-0.82	85.203	5.3233
2009	1	2	100	0	0	-1.0383	85.268	5.2867
2009	1	2	200	0	0	-1.385	85.548	4.92
2009	1	2	300	0	0	-1.775	86.092	3.6633
2009	1	2	400	0	0	-0.6233	78.763	4.8883
2009	1	2	500	0	0	-0.8633	79.667	5.1617
2009	1	2	600	0	0	-1.285	81.413	4.3617
2009	1	2	700	0	0	-1.7183	82.913	4.4683
2009	1	2	800	0	6.53	-1.7467	84.683	3.6633
2009	1	2	900	0	61.63	-0.8283	81.767	3.4533
2009	1	2	1000	0	124.8	0.37	75.592	3.9033
2009	1	2	1100	0	193.24	0.945	70.64	4.765
2009	1	2	1200	0	248.05	1.4317	68.44	4.1017
2009	1	2	1300	0	457.77	2.4767	60.012	3.31
2009	1	2	1400	0	404.31	3.7617	57.172	2.31
2009	1	2	1500	0	231.96	3.935	56.292	2.0083
2009	1	2	1600	0	87.78	3.525	58.085	1.3767
2009	1	2	1700	0	8.43	2.5983	61.39	1.08
2009	1	2	1800	0	0	1.8917	64.81	1.295
2009	1	2	1900	0	0	1.1767	71.265	0.7833
2009	1	2	2000	0	0	0.0533	75.952	3.7767
2009	1	2	2100	0	0	-1.005	80.668	3.5367
2009	1	2	2200	0	0	-1.855	79.43	2.9333
2009	1	2	2300	0	0	-2.51	79.008	3.895
2009	1	2	2400	0	0	-2.9367	78.98	4.9283
2009	1	3	100	0	0	-3.0433	78.497	4.7983
2009	1	3	200	0	0	-3.335	79.915	5.4967
2009	1	3	300	0	0	-3.665	79.162	5.825
2009	1	3	400	0	0	-3.4	79.008	5.6533
